FUNCTION,AGENCY
"VF 132 VERMIN, DESTRUCTION IN FORESTS",VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 149 GROUNDWATER RESOURCES,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,VA 3012 Department of Manufacturing and Industry Development 1990 -1992 Prime
VF 152 PETROLEUM INDUSTRY,VA 3012 Department of Manufacturing and Industry Development 1990 -1992 Prime
VF 173 NATIONAL PARKS,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 178 SOIL CONSERVATION,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 220 ECONOMIC DEVELOPMENT,VA 3012 Department of Manufacturing and Industry Development 1990 -1992 Prime
VF 229 RESEARCH INSTITUTES,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 236 COASTAL MANAGEMENT,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 239 NATIONAL ESTATE,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 246 FISH MARKETING,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 2633 Department of Community Services (also known as Community Services Victoria) 1990 -1992 Prime
VF 255 SHOP REGISTRATION,VA 1026 Ministry of Consumer Affairs 1990 -1992 Prime
VF 261 FUEL PRICES REGULATION,VA 3012 Department of Manufacturing and Industry Development 1990 -1992 Prime
VF 284 CONSERVATION (FLORA),VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 3012 Department of Manufacturing and Industry Development 1990 -1992 Prime
VF 309 CROWN LANDS (PUBLIC),VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 328 ENVIRONMENT PROTECTION,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 330 CROWN LANDS (HISTORIC SITES),VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 341 PUBLIC SECTOR WORKFORCE MANAGEMENT,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1990 -1992 Prime
VF 473 RURAL WATER RESOURCES POLICY,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 493 WATER RESOURCE MANAGEMENT,VA 3004 Department of Conservation and Environment 1990 -1992 Prime
VF 3 CENSUS AND STATISTICS,VA 3007 Department of the Treasury 1990 -1995 Prime
VF 29 LAND TAX,VA 3007 Department of the Treasury 1990 -1995 Prime
VF 325 SCHOOL BUS SERVICES,VA 673 Department of Transport (known as Ministry of Transport 1951 to 1992) 1990 -1996 Prime
VF 363 RENEWABLE ENERGY,VA 3117 Renewable Energy Authority Victoria 1990 -2000 Prime
VF 5 FINANCE,VA 430 Department of Property and Services 1991 -1991 Prime
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",VA 3013 Department of Planning and Housing 1991 -1992 Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 3134 Occupational Health and Safety Authority 1991 -1992 Prime
"VF 174 HOUSING, PUBLIC",VA 3013 Department of Planning and Housing 1991 -1992 Prime
VF 184 LOCAL GOVERNMENT,"VA 3015 Ministry of Ethnic, Municipal and Community Affairs 1991 -1992 Prime"
VF 203 YOUTH AFFAIRS,"VA 3015 Ministry of Ethnic, Municipal and Community Affairs 1991 -1992 Prime"
VF 206 PUBLIC RECORDS,VA 1025 Ministry for the Arts 1991 -1992 Other
VF 207 GOVERNMENT COMPUTING,VA 3007 Department of the Treasury 1991 -1992 Prime
VF 209 GOVERNMENT COURIER SERVICE,VA 3007 Department of the Treasury 1991 -1992 Prime
VF 210 GOVERNMENT MOTOR TRANSPORT,VA 3007 Department of the Treasury 1991 -1992 Prime
VF 231 ETHNIC AFFAIRS,"VA 3015 Ministry of Ethnic, Municipal and Community Affairs 1991 -1992 Prime"
VF 244 BUILDING REGULATION,VA 3013 Department of Planning and Housing 1991 -1992 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2695 Department of Health II (commonly known as the Health Department Victoria) 1991 -1992 Prime
VF 313 GOVERNMENT INFORMATION SERVICE,"VA 3015 Ministry of Ethnic, Municipal and Community Affairs 1991 -1992 Prime"
VF 321 RURAL AFFAIRS,"VA 3015 Ministry of Ethnic, Municipal and Community Affairs 1991 -1992 Prime"
VF 323 SENIOR CITIZENS' WEEK,VA 2997 Older Persons Planning Office 1991 -1992 Prime
VF 327 HERITAGE PROTECTION,VA 3013 Department of Planning and Housing 1991 -1992 Prime
VF 331 CHILDREN'S WEEK,VA 1112 Ministry of Education and Training (previously known as Ministry of Education) 1991 -1992 Prime
VF 332 CLEAN UP AUSTRALIA DAY,VA 3004 Department of Conservation and Environment 1991 -1992 Prime
VF 333 COMMUNITY COUNCIL AGAINST VIOLENCE,VA 1039 Department of the Premier and Cabinet 1991 -1992 Prime
VF 342 PLANNING (POST 1988),VA 3013 Department of Planning and Housing 1991 -1992 Prime
VF 347 ENVIRONMENT EFFECTS STATEMENTS,VA 3013 Department of Planning and Housing 1991 -1992 Prime
VF 348 LAND MONITORING,VA 3007 Department of the Treasury 1991 -1992 Prime
VF 362 EMPLOYMENT,VA 1112 Ministry of Education and Training (previously known as Ministry of Education) 1991 -1992 Prime
VF 418 WATER SUPPLY,VA 4688 Latrobe Region Water Authority (traded as Gippsland Water) 1991 -1994 Prime
VF 418 WATER SUPPLY,VA 4766 Macedon Region Water Authority 1991 -1994 Prime
VF 5 FINANCE,VA 3007 Department of the Treasury 1991 -1995 Prime
VF 17 SURVEY,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -1995 Prime
VF 78 PROPERTY AND ASSETS,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -1995 Prime
"VF 213 BUILDINGS, GOVERNMENT (MANAGEMENT)",VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -1995 Prime
VF 215 PLACE NAMES COMMITTEE,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -1995 Prime
VF 216 LANDATA,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -1995 Prime
"VF 218 BUILDINGS, GOVERNMENT (OUTFITTING)",VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -1995 Prime
VF 318 EDUCATION (TERTIARY) POST C.1987,VA 4355 Vocational Education and Training Accreditation Board 1991 -1997 Other
VF 38 TITLES,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -ct Prime
VF 49 PRICE CONTROL,VA 4195 Australian Securities and Investment Commission 1991 -ct Prime
VF 49 PRICE CONTROL,VA 3974 Australian Securities Commission 1991 -ct Prime
VF 187 VALUATIONS,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -ct Prime
VF 205 GOVERNMENT PRINTING,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -ct Prime
VF 212 REGISTRAR-GENERAL,VA 2825 Attorney-General's Department (previously known as the Law Department) 1991 -ct Prime
VF 214 GOVERNMENT EMPLOYEE HOUSING,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -ct Prime
"VF 219 SUPPLY OF FURNITURE, STORES AND EQUIPMENT",VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -ct Prime
VF 310 CROWN LANDS (GOVERNMENT),VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1991 -ct Prime
VF 317 EDUCATION (ADULT),"VA 4280 Adult, Community and Further Education Board 1991 -ct Prime"
VF 317 EDUCATION (ADULT),VA 1195 CAE [also known as Council of Adult Education (1946-2001); Centre for Adult Education (2001-2003)] 1991 -ct Other
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 1647 Occupational Health and Safety Commission 1992 -1992 Prime
VF 207 GOVERNMENT COMPUTING,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1992 -1992 Prime
VF 209 GOVERNMENT COURIER SERVICE,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1992 -1992 Prime
VF 210 GOVERNMENT MOTOR TRANSPORT,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1992 -1992 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2633 Department of Community Services (also known as Community Services Victoria) 1992 -1992 Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 4291 Office of Pre-School and Child Care 1992 -1992 Prime
VF 473 RURAL WATER RESOURCES POLICY,VA 3132 Department of Water Resources II 1992 -1992 Prime
VF 493 WATER RESOURCE MANAGEMENT,VA 3132 Department of Water Resources II 1992 -1992 Prime
"VF 52 ESTATE AGENTS, REGISTRATION OF",VA 1078 Estate Agents Board 1992 -1994 Prime
VF 332 CLEAN UP AUSTRALIA DAY,VA 3097 Department of Conservation and Natural Resources 1992 -1994 Prime
VF 24 GEOLOGICAL SURVEY,VA 3035 Department of Energy and Minerals 1992 -1995 Prime
VF 122 RURAL WATER SUPPLY,VA 4234 Rural Water Corporation 1992 -1995 Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,VA 3035 Department of Energy and Minerals 1992 -1995 Prime
VF 152 PETROLEUM INDUSTRY,VA 3035 Department of Energy and Minerals 1992 -1995 Prime
VF 184 LOCAL GOVERNMENT,VA 3094 Department of Planning and Development 1992 -1995 Prime
VF 210 GOVERNMENT MOTOR TRANSPORT,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1992 -1995 Prime
VF 236 COASTAL MANAGEMENT,VA 1373 Coastal Management and Co-ordination Committee 1992 -1995 Prime
VF 261 FUEL PRICES REGULATION,VA 3035 Department of Energy and Minerals 1992 -1995 Prime
VF 313 GOVERNMENT INFORMATION SERVICE,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1992 -1995 Prime
VF 321 RURAL AFFAIRS,VA 3014 Department of Agriculture II 1992 -1995 Prime
VF 327 HERITAGE PROTECTION,VA 1405 Historic Buildings Council (known as Historic Buildings Preservation Council 1974 - 1981) 1992 -1995 Prime
VF 348 LAND MONITORING,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1992 -1995 Prime
VF 473 RURAL WATER RESOURCES POLICY,VA 3097 Department of Conservation and Natural Resources 1992 -1995 Prime
VF 11 PORTS AND HARBOURS,VA 673 Department of Transport (known as Ministry of Transport 1951 to 1992) 1992 -1996 Prime
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",VA 3094 Department of Planning and Development 1992 -1996 Prime
"VF 22 LIBRARY, STATE","VA 3095 Department of Arts, Sport and Tourism 1992 -1996 Prime"
VF 28 CEMETERIES,VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 30 FORESTS,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 60 PRISONS AND CORRECTIONAL SERVICES,VA 1063 Office of Corrections 1992 -1996 Prime
VF 67 HOSPITALS AND CHARITIES,VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 82 GALLERIES,"VA 3095 Department of Arts, Sport and Tourism 1992 -1996 Prime"
VF 83 MUSEUMS,"VA 3095 Department of Arts, Sport and Tourism 1992 -1996 Prime"
VF 93 PROBATION AND PAROLE SERVICES (YOUTH),VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 98 FISHERIES AND WILDLIFE,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 122 RURAL WATER SUPPLY,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Other
"VF 125 HEALTH, PUBLIC",VA 3092 Department of Health and Community Services 1992 -1996 Prime
"VF 128 HEALTH, MENTAL",VA 3092 Department of Health and Community Services 1992 -1996 Prime
"VF 132 VERMIN, DESTRUCTION IN FORESTS",VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 149 GROUNDWATER RESOURCES,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 150 DANGEROUS GOODS,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 170 REGIONAL DEVELOPMENT,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 173 NATIONAL PARKS,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
"VF 174 HOUSING, PUBLIC",VA 3094 Department of Planning and Development 1992 -1996 Prime
VF 178 SOIL CONSERVATION,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 188 WEIGHTS AND MEASURES,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 193 ARTS FUNDING,"VA 3095 Department of Arts, Sport and Tourism 1992 -1996 Prime"
VF 194 ARTS,"VA 3095 Department of Arts, Sport and Tourism 1992 -1996 Prime"
VF 202 SPORT AND RECREATION,"VA 3095 Department of Arts, Sport and Tourism 1992 -1996 Prime"
VF 203 YOUTH AFFAIRS,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 206 PUBLIC RECORDS,"VA 3095 Department of Arts, Sport and Tourism 1992 -1996 Other"
VF 220 ECONOMIC DEVELOPMENT,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 224 INDUSTRIAL RELATIONS,VA 3096 Department of Business and Employment 1992 -1996 Other
VF 229 RESEARCH INSTITUTES,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 244 BUILDING REGULATION,VA 3094 Department of Planning and Development 1992 -1996 Prime
VF 246 FISH MARKETING,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 247 DOMICILIARY CARE SERVICES,VA 3092 Department of Health and Community Services 1992 -1996 Prime
"VF 248 HEALTH, PUBLIC (INFANT AND MATERNAL)",VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 250 PHYSICAL AND SENSORY DISABILITY SERVICES,VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 252 WELFARE SERVICES,VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 254 INDUSTRIAL COMPLIANCE,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 255 SHOP REGISTRATION,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 259 RETAIL TRADING HOURS,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 267 EMPLOYMENT OF CHILDREN,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 284 CONSERVATION (FLORA),VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 3096 Department of Business and Employment 1992 -1996 Prime
"VF 298 CHILDREN'S HOMES, FUNDING",VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 309 CROWN LANDS (PUBLIC),VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 322 OLDER PERSONS' SERVICES,VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 323 SENIOR CITIZENS' WEEK,VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 328 ENVIRONMENT PROTECTION,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 334 COODE ISLAND CHEMICAL STORAGE (RELOCATION OF),VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 340 STATE ARTIST,"VA 3095 Department of Arts, Sport and Tourism 1992 -1996 Prime"
VF 342 PLANNING (POST 1988),VA 3094 Department of Planning and Development 1992 -1996 Prime
VF 347 ENVIRONMENT EFFECTS STATEMENTS,VA 3094 Department of Planning and Development 1992 -1996 Prime
VF 362 EMPLOYMENT,VA 3096 Department of Business and Employment 1992 -1996 Prime
VF 424 CHILD MAINTENANCE (FINANCIAL ALLOWANCES FOR),VA 3092 Department of Health and Community Services 1992 -1996 Prime
"VF 427 CHILDREN, NEGLECTED, REGISTRATION OF HOMES FOR",VA 3092 Department of Health and Community Services 1992 -1996 Prime
"VF 450 JUVENILE DELINQUENTS, DETENTION AND WELFARE OF",VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 493 WATER RESOURCE MANAGEMENT,VA 3097 Department of Conservation and Natural Resources 1992 -1996 Prime
VF 496 WELFARE SERVICES (FAMILY),VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 498 WELFARE SERVICES (NEGLECTED CHILDREN),VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 499 WELFARE SERVICES (YOUTH),VA 3092 Department of Health and Community Services 1992 -1996 Prime
"VF 500 WELFARE, MATERNAL AND CHILD",VA 3092 Department of Health and Community Services 1992 -1996 Prime
VF 68 PUBLIC SERVICE,VA 3088 Office of the Public Service Commissioner 1992 -1998 Prime
VF 19 EDUCATION,VA 3098 Department of Education 1992 -1999 Prime
VF 120 SCHOOL ATTENDANCE REGULATION,VA 3098 Department of Education 1992 -1999 Prime
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 3098 Department of Education 1992 -1999 Other
VF 318 EDUCATION (TERTIARY) POST C.1987,VA 3098 Department of Education 1992 -1999 Prime
VF 339 WOMEN'S AFFAIRS,VA 3085 Department of Justice 1992 -1999 Prime
VF 231 ETHNIC AFFAIRS,VA 1039 Department of the Premier and Cabinet 1992 -2002 Prime
VF 231 ETHNIC AFFAIRS,VA 4193 Victorian Office of Multicultural Affairs (formerly Ethnic Affairs Unit 1992 - 1996 and Multicultural Affairs unit 1996 - 1999) 1992 -2007 Other
VF 10 POLICE,VA 3085 Department of Justice 1992 -ct Prime
VF 26 HERBARIUM,VA 3124 Royal Botanic Gardens Board 1992 -ct Prime
VF 27 BOTANIC GARDENS,VA 3124 Royal Botanic Gardens Board 1992 -ct Prime
VF 36 CROWN SOLICITOR'S SERVICES,VA 3085 Department of Justice 1992 -ct Prime
VF 54 GOVERNMENT REPORTING SERVICE,VA 3085 Department of Justice 1992 -ct Prime
VF 72 WORKERS' COMPENSATION,VA 3081 Victorian WorkCover Authority 1992 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 5028 Beechworth Health Service 2002 - ct; previously known as Beechworth Hospital 1992-2002 1992 -ct Prime
VF 141 CONSUMER PROTECTION,VA 3084 Consumer and Business Affairs Victoria (1992 - 2000 Office of Fair Trading and Business Affairs) 1992 -ct Prime
VF 160 ROAD SAFETY AND TRAFFIC MANAGEMENT,VA 3130 Joint Committee on Road Safety II 1992 -ct Prime
VF 169 SOLICITOR-GENERAL,VA 3085 Department of Justice 1992 -ct Prime
VF 189 TOURISM,VA 4192 Tourism Victoria 1992 -ct Prime
VF 194 ARTS,VA 4416 Arts Victoria 1992 -ct Prime
VF 197 HOUSEBUILDING LIABILITY,VA 3084 Consumer and Business Affairs Victoria (1992 - 2000 Office of Fair Trading and Business Affairs) 1992 -ct Prime
VF 198 PRICES MONITORING,VA 3084 Consumer and Business Affairs Victoria (1992 - 2000 Office of Fair Trading and Business Affairs) 1992 -ct Prime
VF 207 GOVERNMENT COMPUTING,VA 3007 Department of the Treasury 1992 -ct Prime
VF 209 GOVERNMENT COURIER SERVICE,VA 3007 Department of the Treasury 1992 -ct Prime
VF 239 NATIONAL ESTATE,VA 3097 Department of Conservation and Natural Resources 1992 -ct Prime
VF 252 WELFARE SERVICES,VA 3128 Joint Committee on Family and Community Development (previously known as Community Development Committee 1992-1996) 1992 -ct Prime
VF 297 COURTS ADMINISTRATION,VA 3085 Department of Justice 1992 -ct Prime
VF 330 CROWN LANDS (HISTORIC SITES),VA 3097 Department of Conservation and Natural Resources 1992 -ct Prime
VF 333 COMMUNITY COUNCIL AGAINST VIOLENCE,VA 3085 Department of Justice 1992 -ct Prime
VF 341 PUBLIC SECTOR WORKFORCE MANAGEMENT,VA 3007 Department of the Treasury 1992 -ct Prime
VF 345 WORKERS COMPENSATION ARBITRATION,VA 686 County Court 1992 -ct Prime
VF 346 ACCIDENT REHABILITATION,VA 3081 Victorian WorkCover Authority 1992 -ct Prime
VF 394 LAW,VA 3142 Joint Committee on Law Reform 1992 -ct Prime
VF 400 PARLIAMENT,VA 3130 Joint Committee on Road Safety II 1992 -ct Prime
VF 400 PARLIAMENT,VA 3129 Joint Committee on Drugs and Crime Prevention (previously known as Crime Prevention Committee 1992-1996) 1992 -ct Prime
VF 400 PARLIAMENT,VA 3128 Joint Committee on Family and Community Development (previously known as Community Development Committee 1992-1996) 1992 -ct Prime
VF 400 PARLIAMENT,VA 3142 Joint Committee on Law Reform 1992 -ct Prime
VF 400 PARLIAMENT,VA 3545 Joint Committee on Environment and Natural Resources 1992 -ct Other
VF 400 PARLIAMENT,VA 3137 Joint Committee on Public Accounts and Estimates 1992 -ct Other
VF 400 PARLIAMENT,VA 3139 Joint Committee on Economic Development and Infrastructure Committee (previously known as Economic Development Committee (1992-2007)) 1992 -ct Other
VF 400 PARLIAMENT,VA 4000 Joint Committee on Scrutiny of Acts and Regulations 1992 -ct Other
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 3996 Coliban Region Water Authority 1992 -ct Prime
"VF 471 RENTAL DISPUTES, INVESTIGATION OF",VA 3084 Consumer and Business Affairs Victoria (1992 - 2000 Office of Fair Trading and Business Affairs) 1992 -ct Prime
VF 479 TOURISM PUBLICITY AND PROMOTION,VA 4192 Tourism Victoria 1992 -ct Prime
VF 144 INDUSTRIAL APPEALS,VA 3125 Employee Relations Commission 1993 -1996 Prime
VF 224 INDUSTRIAL RELATIONS,VA 3125 Employee Relations Commission 1993 -1996 Prime
"VF 360 TRADE UNIONS, REGISTRATION OF",VA 3125 Employee Relations Commission 1993 -1996 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 4078 Generation Victoria (Trading as Ecogen Energy) 1993 -1999 Prime
VF 412 TEACHERS (REGISTRATION OF),VA 4088 Standards Council of the Teaching Profession 1993 -2001 Prime
VF 59 EQUAL OPPORTUNITY,VA 4278 Equal Opportunity and Human Rights Commission 1993 -ct Prime
VF 244 BUILDING REGULATION,VA 4216 Building Advisory Council 1993 -ct Prime
VF 244 BUILDING REGULATION,VA 4217 Building Appeals Board 1993 -ct Prime
VF 244 BUILDING REGULATION,VA 4215 Building Control Commission 1993 -ct Prime
VF 244 BUILDING REGULATION,VA 4218 Building Practitioners Board 1993 -ct Prime
VF 244 BUILDING REGULATION,VA 4219 Building Regulations Advisory Committee 1993 -ct Prime
VF 326 ARCHAEOLOGICAL SURVEY (ABORIGINAL),"VA 3101 Aboriginal Affairs, Victoria (known as Department of Aboriginal Affairs 1991-1992) 1993 -ct Prime"
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),VA 4258 Historic Shipwrecks Advisory Committee I 1994 -1995 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 4604 Victorian Power Exchange (trading as PoolCo) 1994 -1998 Prime
VF 148 GAS AND FUEL,VA 4412 GASCOR Pty Ltd 1994 -2003 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4241 Glenelg Region Water Authority 1994 -2005 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 3753 Hopkins Region Water Authority (known as South West Water Authority 1995-2005) 1994 -2005 Prime
"VF 307 HEALTH CARE PROFESSIONALS, REGISTRATION OF",VA 4611 Nurses Board of Victoria 1994 -2010 Prime
VF 488 TRANSPORT REGULATION,VA 5009 Victorian Taxi Directorate 1994 -2013 Prime
VF 19 EDUCATION,VA 4282 Merit Protection Boards 1994 -ct Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 4086 Office of the Administrator 1994 -ct Prime
VF 49 PRICE CONTROL,VA 4205 Office of the Regulator-General 1994 -ct Prime
VF 50 STATE TRUSTEE,VA 3975 State Trustees Limited 1994 -ct Prime
"VF 52 ESTATE AGENTS, REGISTRATION OF",VA 4214 Estate Agents Council 1994 -ct Prime
VF 122 RURAL WATER SUPPLY,VA 3756 Barwon Region Water Authority 1994 -ct Prime
VF 224 INDUSTRIAL RELATIONS,VA 4282 Merit Protection Boards 1994 -ct Prime
"VF 311 GOVERNMENT EXPENDITURE, MONITORING AND CONTROL OF",VA 4211 Victorian Funds Management Corporation 1994 -ct Prime
VF 332 CLEAN UP AUSTRALIA DAY,VA 1007 Melbourne Water Corporation [known as Melbourne and Metropolitan Board of Works to 1992] 1994 -ct Prime
VF 366 ADMINISTRATIVE APPEALS,VA 4282 Merit Protection Boards 1994 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,"VA 4238 Westernport Water Authority, (known as Westernport Region Water Corporation from 2007 to ct) 1994 -ct Prime"
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4106 Yarra Valley Water Limited 1994 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 3756 Barwon Region Water Authority 1994 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4247 City West Water Limited 1994 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4248 South East Water Limited 1994 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4239 South Gippsland Region Water Authority 1994 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 5019 Ovens Region Water Authority 1994 -ct Prime
VF 418 WATER SUPPLY,"VA 4238 Westernport Water Authority, (known as Westernport Region Water Corporation from 2007 to ct) 1994 -ct Prime"
VF 418 WATER SUPPLY,VA 4245 Western Region Water Authority 1994 -ct Prime
VF 418 WATER SUPPLY,VA 4094 Central Gippsland Region Water Authority (trading as Gippsland Water) 1994 -ct Prime
VF 418 WATER SUPPLY,VA 3756 Barwon Region Water Authority 1994 -ct Prime
"VF 489 TRANSPORT SERVICES : PUBLIC, METROPOLITAN AREA",VA 4221 Melbourne City Link Authority 1994 -ct Prime
VF 5 FINANCE,VA 3016 Department of Finance (previously known as Ministry of Finance 1991-1992) 1995 -1995 Prime
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),VA 4285 Archaeological Relics Advisory Committee 1995 -1995 Prime
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),VA 3094 Department of Planning and Development 1995 -1995 Prime
VF 327 HERITAGE PROTECTION,VA 4258 Historic Shipwrecks Advisory Committee I 1995 -1995 Prime
VF 17 SURVEY,VA 3745 Department of Treasury and Finance 1995 -1996 Prime
VF 24 GEOLOGICAL SURVEY,"VA 3744 Department of Agriculture, Energy and Minerals 1995 -1996 Prime"
VF 110 VETERINARY SERVICES,VA 3097 Department of Conservation and Natural Resources 1995 -1996 Prime
VF 111 ANIMAL PROTECTION,"VA 3744 Department of Agriculture, Energy and Minerals 1995 -1996 Prime"
VF 151 MINING AND EXTRACTIVE INDUSTRIES,"VA 3744 Department of Agriculture, Energy and Minerals 1995 -1996 Prime"
VF 152 PETROLEUM INDUSTRY,"VA 3744 Department of Agriculture, Energy and Minerals 1995 -1996 Prime"
VF 184 LOCAL GOVERNMENT,VA 3745 Department of Treasury and Finance 1995 -1996 Prime
VF 215 PLACE NAMES COMMITTEE,VA 3745 Department of Treasury and Finance 1995 -1996 Prime
